name,description,productImages,rating,reviews,createdAt,category,subCategory,productType,price,stock,storageSize,color,tags,brand
Canon EOS R5,High-end mirrorless camera with 8K video,https://www.bl2.it/26378-large_default/canon-eos-r5-c-mirrorless-cinema-camera.jpg|https://cdn11.bigcommerce.com/s-q9x1seim3l/images/stencil/500x659/products/176/6312/1536120359_1433710-1__66865.1691129212.jpg?c=1|https://www.bl2.it/36911-large_default/canon-eos-r5-mark-ii-mirrorless-camera.jpg|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDhWgBYKp1baU1kj1Req9ntlGPwmzXwXNLOjKnuGkjqrZ8GLYn7VX1VX0R4g_0EKKdKWU&usqp=CAU,,,2024-02-28,Cameras & Videos,DSLR & Mirrorless,mirrorless,3500,10,64|128|256,black,,Canon
Nikon Z9,Professional mirrorless camera with 45MP sensor,https://www.photoreview.com.au/wp-content/uploads/2022/01/Z9_angled_front-24-70mm-lens.jpg|https://www.imaging-resource.com/PRODS/nikon-z9/ZYFRONT-LG.JPG?44|https://i0.wp.com/pcstore.pk/wp-content/uploads/2023/06/z9-3.png?fit=1140%2C1140&ssl=1,,,2024-02-28,Cameras & Videos,DSLR & Mirrorless,mirrorless,5500,5,128|256,black,hotDeal,Nikon
Sony A7 IV,33MP full-frame mirrorless camera,https://i.pinimg.com/736x/fb/24/be/fb24be811b242682bd629368f1009162.jpg|https://www.newsshooter.com/wp-content/uploads/2020/07/Alpha-7S-III_top_SEL1635GM-740x976.jpg|https://sony.scene7.com/is/image/sonyglobalsolutions/01_SlideShow_4_Desktop-2?$productshotPreset$&fmt=png-alpha&wid=515&hei=515&trf=trim ,,,2024-02-28,Cameras & Videos,DSLR & Mirrorless,mirrorless,2500,20,64|256,black|silver,featured,Sony
GoPro HERO12,5.3K action camera with HyperSmooth stabilization,https://cdn11.bigcommerce.com/s-1nktaieb4v/images/stencil/1280x1280/products/37454/79909/gopro-hero-12-black__80828.1704424642.jpg?c=1|https://gopro.com/on/demandware.static/-/Sites-gopro-products/default/dw7954e936/images/Product%20Images/cameras/CHDFB-121-master/plp-product-card-H12CE.png|https://static0.pocketlintimages.com/wordpress/wp-content/uploads/2024/08/gopro-hero-12.jpg|https://www.cameradeals.nl/wp-content/uploads/2023/09/GoPro-Hero-12-Black-Creator-edition-actioncamera-prijzen-en-uitvoeringen-camera-deals-1024x1024.jpg,,,2024-02-28,Cameras & Videos,Action Cameras,action camera,500,50,128|256,black,specialOffer,GoPro
DJI Osmo Action 4,Waterproof 4K action camera,https://www.dpreview.com/files/p/articles/6181357891/2Osmo_Action_4_camera.png|https://se-cdn.djiits.com/tpc/uploads/spu/cover/e1b8110f65a5a3321fe487f0a1a061ac@xlarge.png|https://www-cdn.djiits.com/cms/uploads/556555c9af81d5aa3874cdae6bb4cd87.png|https://www.adorama.com/images/Large/DJICPOS37701.jpg|https://media.sweetwater.com/m/products/image/ad732fa662hHYMmhh04uFsJa8CVPGFZ7on7RAyH9.jpg?v=ad732fa662e1390f ,,,2024-02-28,Cameras & Videos,Action Cameras,action camera,400,30,64,black,,DJI
Insta360 X3,360-degree action camera with AI editing,https://images.squarespace-cdn.com/content/v1/5b4544e485ede17941bc95fc/2e0f104a-9b5b-486b-a5f9-055184d635b9/insta360-x3.jpg|https://res.insta360.com/dynamic/store/28d05f9004094b2447b7d167532a77cd/2673_4d3117de-ff43-4f5e-ba5b-48b13fe975a7.png|https://www.cined.com/content/uploads/2022/09/Insta360X3_FrontLeftRight.jpg|https://www.lib.ncsu.edu/sites/default/files/Group%20350.png ,,,2024-02-28,Cameras & Videos,Action Cameras,action camera,450,25,64|128,black|blue,hotDeal,Insta360
GoPro Chest Mount,Adjustable harness for hands-free shooting,https://static.gopro.com/assets/blta2b8522e5372af40/blt571e527fa0e6397f/62fd54fb50ee4d10990d71bf/pdp-h11b-chesty-gallery-1.png|https://cdn11.bigcommerce.com/s-e9bd7/images/stencil/1280x1280/products/15246/12198/Unknown_19__33320.1412609715.jpg?c=2|https://m.media-amazon.com/images/I/81Z0zGrA6bL.jpg|https://www.proutvparts.com/cdn/shop/files/g_f493a880-0e14-40c8-821c-b927610e6113_1024x1024@2x.webp?v=1720544171,,,2024-02-28,Cameras & Videos,Action Cameras,accessories,50,100,32|64,black,,GoPro
Sony FDR-AX700,4K camcorder with advanced autofocus,https://m.media-amazon.com/images/I/6100qlc+NFL.jpg|https://mpex.com/pub/media/catalog/product/cache/2264c9e38777ed202d5c3170a063a3cf/s/o/son1610c.jpg|https://www.adorama.com/images/Large/SOFDRAX700_7.jpg ,,,2024-02-28,Cameras & Videos,Camcorders,4K video,1600,10,128,black,featured,Sony
Canon XA55,Professional handheld camcorder with dual XLR,https://www.glazerscamera.com/cdn/shop/products/XA75_Overview_875x700.png?v=1666313132|https://cdn11.bigcommerce.com/s-fc1fc/images/stencil/1280x1280/products/56816/195804/1662540403_IMG_1831965__84347.1707412980.jpg?c=2|https://i1.adis.ws/i/canon/gallery_xa55-xa50-bck-01_fa2b5c1f11a24e3bb90416a948b80f7e?$tile-gallery-jpg$|https://i1.adis.ws/i/canon/gallery_xa55-xa50-body-handle-01_47ead0b2008e413da0a80b93dedd19f2?$tile-gallery-jpg$ ,,,2024-02-28,Cameras & Videos,Camcorders,handheld,2500,8,64,black,,Canon
Rode VideoMic Pro+,High-quality on-camera microphone for video recording,"https://m.media-amazon.com/images/I/51PrrA-z7kL._AC_UF894,1000_QL80_.jpg|https://images-us-prod.cms.commerce.dynamics.com/cms/api/hbzzfqllpg/imageFileData/search?fileName=/Products%2F464ADI098_000_001.png&fallback=/Products/V464ADI098_000_001.jpg,/Products/V464ADI098_000_001.png,/Products/V464ADI098_000_001.webp&w=0&h=772&q=75&m=6&f=jpg|https://images-us-prod.cms.commerce.dynamics.com/cms/api/hbzzfqllpg/imageFileData/search?fileName=/Products%2F464ADI098_000_001.png&fallback=/Products/V464ADI098_000_001.jpg,/Products/V464ADI098_000_001.png,/Products/V464ADI098_000_001.webp&w=0&h=772&q=75&m=6&f=jpg|https://media.sweetwater.com/m/products/image/bbe1ec9b57esmXBF7PtaIEc5RBXZcRgGpxrCYww4.wm-dh.jpg?quality=82&height=750&ha=bbe1ec9b57c79c85 ",,,2024-02-28,Cameras & Videos,Camcorders,microphones,299,50,32,black,specialOffer,Rode
